Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,URL/Filename,Threat/Content Name,Category,Severity,Direction,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,contenttype,pcap_id,filedigest,cloud,url_idx,user_agent,filetype,xff,referer,sender,subject,recipient,reportid,dg_hier_level_1,dg_hier_level_2,dg_hier_level_3,dg_hier_level_4,Virtual System Name,Device Name,file_url,Source VM UUID,Destination VM UUID,http_method,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,parent_start_time,tunnel,thr_category,contentver,sig_flags
1,2017/05/09 19:17:22,1606050200,THREAT,vulnerability,1,2017/05/09 19:17:22,192.168.4.53,192.168.4.200,,,kkctf,,,webdav,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:17:22,49049,1,55811,80,0,0,0x6000,tcp,alert,192.168.4.200/,WebDav Option Request(37097),private-ip-addresses,informational,client-to-server,1591303,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:17:22,1606050200,THREAT,vulnerability,1,2017/05/09 19:17:22,192.168.4.53,192.168.4.200,,,kkctf,,,webdav,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:17:22,49049,1,55811,80,0,0,0x6000,tcp,alert,192.168.4.200/,HTTP OPTIONS Method(30520),private-ip-addresses,informational,client-to-server,1591302,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:16:50,1606050200,THREAT,vulnerability,1,2017/05/09 19:16:50,192.168.4.53,192.168.4.200,,,kkctf,,,ms-ds-smb,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:16:50,49061,1,55809,445,0,0,0x6000,tcp,alert,srvsvc,Microsoft Windows Server Service NetrShareEnum access(30862),any,informational,client-to-server,1591300,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:16:48,1606050200,THREAT,vulnerability,1,2017/05/09 19:16:48,192.168.4.53,192.168.4.200,,,kkctf,,,ms-ds-smb,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:16:48,49061,3,55809,445,0,0,0x6000,tcp,alert,srvsvc,Microsoft Windows Server Service NetrServerGetInfo access(30861),any,informational,client-to-server,1591299,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:15:17,1606050200,THREAT,vulnerability,1,2017/05/09 19:15:17,192.168.4.53,192.168.4.200,,,kkctf,,,webdav,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:15:17,49060,1,55772,80,0,0,0x6000,tcp,alert,192.168.4.200/,WebDav Option Request(37097),private-ip-addresses,informational,client-to-server,1591298,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:15:17,1606050200,THREAT,vulnerability,1,2017/05/09 19:15:17,192.168.4.53,192.168.4.200,,,kkctf,,,webdav,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:15:17,49060,1,55772,80,0,0,0x6000,tcp,alert,192.168.4.200/,HTTP OPTIONS Method(30520),private-ip-addresses,informational,client-to-server,1591297,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:14:51,1606050200,THREAT,vulnerability,1,2017/05/09 19:14:51,192.168.4.53,192.168.4.200,,,kkctf,,,webdav,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:14:51,49059,1,55770,80,0,0,0x6000,tcp,alert,192.168.4.200/,WebDav Option Request(37097),private-ip-addresses,informational,client-to-server,1591295,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:14:51,1606050200,THREAT,vulnerability,1,2017/05/09 19:14:51,192.168.4.53,192.168.4.200,,,kkctf,,,webdav,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:14:51,49059,1,55770,80,0,0,0x6000,tcp,alert,192.168.4.200/,HTTP OPTIONS Method(30520),private-ip-addresses,informational,client-to-server,1591294,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,1,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:13:58,1606050200,THREAT,vulnerability,1,2017/05/09 19:13:58,192.168.4.53,192.168.4.200,,,kkctf,,,ms-ds-smb,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:13:58,49057,2,55729,445,0,0,0x6000,tcp,alert,srvsvc,Microsoft Windows Server Service NetrShareEnum access(30862),any,informational,client-to-server,1591292,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
1,2017/05/09 19:13:55,1606050200,THREAT,vulnerability,1,2017/05/09 19:13:55,192.168.4.53,192.168.4.200,,,kkctf,,,ms-ds-smb,vsys1,untrust,trust,ethernet1/1,ethernet1/2,JASK,2017/05/09 19:13:55,49057,5,55729,445,0,0,0x6000,tcp,alert,srvsvc,Microsoft Windows Server Service NetrServerGetInfo access(30861),any,informational,client-to-server,1591291,0x0,192.168.0.0-192.168.255.255,192.168.0.0-192.168.255.255,0,,0,,,0,,,,,,,,0,0,0,0,0,,PA-200,,,,,0,,0,,N/A,info-leak,AppThreat-675-3915,0x0
