##############################################################################
# Ransomware Tracker CSV Feed                                                #
# Generated on 2016-06-30 15:22:58 UTC                                       #
#                                                                            #
# For questions please refer to:                                             #
# https://ransomwaretracker.abuse.ch/feeds/                                  #
##############################################################################
#
# Firstseen (UTC),Threat,Malware,Host,URL,Status,Registrar,IP address(es),ASN(s),Country
"2016-06-29 07:47:34","Payment Site","Cerber","cerberhhyed5frqa.alri58.win","http://cerberhhyed5frqa.alri58.win","online","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","8100|12703|40676","US|US"
"2016-06-29 04:14:45","Payment Site","Cerber","cerberhhyed5frqa.m5fgoi.win","http://cerberhhyed5frqa.m5fgoi.win","offline","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","8100|12703|40676","US|US"
"2016-06-29 03:01:41","Payment Site","Cerber","cerberhhyed5frqa.er48rt.win","http://cerberhhyed5frqa.er48rt.win","offline","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","8100|12703|40676","US|US"
"2016-06-28 19:43:28","Payment Site","Cerber","cerberhhyed5frqa.asxce4.win","http://cerberhhyed5frqa.asxce4.win","online","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","8100|12703|40676","US|US"
"2016-06-28 16:29:21","Payment Site","Cerber","cerberhhyed5frqa.adevf4.win","http://cerberhhyed5frqa.adevf4.win","online","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","8100|12703|40676","US|US"
"2016-06-28 15:37:42","Payment Site","Cerber","cerberhhyed5frqa.li4loi.win","http://cerberhhyed5frqa.li4loi.win","offline","Eranet International Limited","","8100|12703|40676",""
"2016-06-28 12:54:35","C2","Locky","pnyviolg.eu","http://pnyviolg.eu/main.php","offline","eNom, Inc","208.100.26.234","32748","US"
"2016-06-28 12:08:37","Payment Site","Cerber","cerberhhyed5frqa.ti4wic.win","http://cerberhhyed5frqa.ti4wic.win","online","Eranet International Limited","185.133.40.156|185.133.40.156|193.124.60.81","57494|2118|35415","RU|RU"
"2016-06-28 10:55:24","Payment Site","Cerber","cerberhhyed5frqa.moneu5.win","http://cerberhhyed5frqa.moneu5.win","online","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","8100|12703|40676","US|US"
"2016-06-28 06:50:02","Payment Site","Cerber","cerberhhyed5frqa.oneswi.win","http://cerberhhyed5frqa.oneswi.win","offline","Eranet International Limited","104.223.119.155|104.223.119.155|45.34.81.12","61138|8100|12703|40676","US|US"
